1,,,Artist Name,artistURI
2,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2
3,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb
4,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ
5,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
6,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
7,spotify:artist:336vr2M3Va0FjyvB55lJEd,D'Angelo,D'Angelo,spotify:artist:336vr2M3Va0FjyvB55lJEd
8,spotify:artist:7IfculRW2WXyzNQ8djX8WX,Erykah Badu,Erykah Badu,spotify:artist:7IfculRW2WXyzNQ8djX8WX
9,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,System Of A Down,System Of A Down,spotify:artist:5eAWCfyUhZtHHtBdNk56l1
10,spotify:artist:3koiLjNrgRTNbOwViDipeA,Marvin Gaye,Marvin Gaye,spotify:artist:3koiLjNrgRTNbOwViDipeA
11,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
12,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
13,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
14,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,Mac DeMarco,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM
15,spotify:artist:3MdG05syQeRYPPcClLaUGl,Diana Ross,Diana Ross,spotify:artist:3MdG05syQeRYPPcClLaUGl
16,spotify:artist:0rXI0q8Cahq6numvPlloaq,Diana Ross & The Supremes,Diana Ross & The Supremes,spotify:artist:0rXI0q8Cahq6numvPlloaq
17,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,ROSALÍA,spotify:artist:7ltDVBr6mKbRvohxheJ9h1
18,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
19,spotify:artist:3rWZHrfrsPBxVy692yAIxF,WILLOW,WILLOW,spotify:artist:3rWZHrfrsPBxVy692yAIxF
20,spotify:artist:57vWImR43h4CaDao012Ofp,Steve Lacy,Steve Lacy,spotify:artist:57vWImR43h4CaDao012Ofp
21,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi
22,spotify:artist:6liAMWkVf5LH7YR9yfFy1Y,Portishead,Portishead,spotify:artist:6liAMWkVf5LH7YR9yfFy1Y
23,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,Mitski,Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
24,spotify:artist:0qu422H5MOoQxGjd4IzHbS,Yves Tumor,Yves Tumor,spotify:artist:0qu422H5MOoQxGjd4IzHbS
25,spotify:artist:5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,Taeko Onuki,spotify:artist:5QeCklzEEYSSLWeUxuWeBy
26,spotify:artist:17UUkxLWmRP5P47W5kwVVb,Xenia Rubinos,Xenia Rubinos,spotify:artist:17UUkxLWmRP5P47W5kwVVb
27,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG
28,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,Alicia Keys,spotify:artist:3DiDSECUqqY1AuBP8qtaIa
29,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
