Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,ExplicitOld,Popularity,Added By,Added At,Genres,,,,,,Explicit
spotify:track:2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,1,259946,https://p.scdn.co/mp3-preview/60a66cd5118516bace2f5c3d3769082aae321983?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:0pNeVovbiZHkulpGeOx1Gj,Something - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,2,182293,https://p.scdn.co/mp3-preview/00ed14c534c140db5d6f718d4b427261beb59a8a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:2S8xyNRJX1XQdo3qnTuovI,Maxwell's Silver Hammer - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,3,207920,https://p.scdn.co/mp3-preview/a644389acc8d1763b5b44403fd7543a20f89f2c3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:2mxByJWOajjiVsLWjNXvDJ,Oh! Darling - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,4,207240,https://p.scdn.co/mp3-preview/ba494add67e1e86d7f233fae165f5f6570e874ca?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:0suLngfo7rJoetk7Ub6N8l,Octopus's Garden - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,5,170720,https://p.scdn.co/mp3-preview/fa41dbad21f17e74fb91346e283289e286e77218?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,63,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:3Z25k4ZF6QENy2d9YatsM5,I Want You (She's So Heavy) - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,6,467320,https://p.scdn.co/mp3-preview/52e9531cee39ebc2c62b9ee81b86edd137f8e244?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,7,185733,https://p.scdn.co/mp3-preview/54cc460f2c430b83b018f540c8a8c33539c1c393?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:1rxoyGj1QuPoVi8fOft1Kt,Because - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,8,165666,https://p.scdn.co/mp3-preview/c22b5733dc5826042eca160d5d9faba539a63e1c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:1jOLTO379yIu9aMnCkpMQl,You Never Give Me Your Money - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,9,242973,https://p.scdn.co/mp3-preview/1c0bad99046d8a3e5ad73eff988d14395be3d932?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,58,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:4nwKdZID1ht0lDBJ5h2p87,Sun King - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,10,146266,https://p.scdn.co/mp3-preview/c17387cec36ce688a803f59b67796b5e0af31c8a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
